species_vn,species_latin,family,category_type,type,origin,light_requirements,min_temp,watering_needs,soil_ph,flower_color,bloom_season,fertilizing_guide,indoor_outdoor,meaning_fengshui,key_features,image_url,source_url
"Cây Cau Tiểu Trâm","Chamaedorea elegans","Arecaceae (Cau)","Cây nội thất mini","Cây cau cảnh","Trung Mỹ","Bóng râm, ánh sáng đèn huỳnh quang",15,"Giữ ẩm, 2-3 lần/tuần","5.5-6.5","Vàng nhạt","Mùa xuân","Phân NPK 1 tháng/lần","Trong nhà, bàn làm việc","Khai thông vượng khí, xua đuổi xui rủi","Dạng cau thu nhỏ. Lọc khí độc. Phù hợp môi trường máy lạnh, thiếu sáng.","","https://webcaycanh.com"
"Cây Đại Phú Gia","Aglaonema sp.","Araceae (Ráy)","Cây phong thủy","Cây thân thảo","Đông Nam Á","Ưa sáng/bán sáng",15,"Tưới vừa phải","5.5-6.5","-","-","Phân NPK 1 tháng/lần","Trong nhà, phòng khách","Phú quý, tiền tài","Lá to bản, xanh bóng, vẻ bề thế. Cây kích thước lớn.","","https://spacet.vn"
"Cây Vạn Lộc","Aglaonema rotundum pink","Araceae (Ráy)","Cây phong thủy","Cây thân thảo","Thái Lan, Indonesia","Sáng gián tiếp",15,"Giữ ẩm, 2 lần/tuần","5.5-6.5","-","-","Phân NPK 1 tháng/lần","Trong nhà, bàn làm việc","May mắn, tài lộc, phát tài","Lá màu hồng đỏ nổi bật. Còn gọi là Thiên Phú. Hợp mệnh Hỏa, Thổ.","","https://webcaycanh.com"
"Cây Hạnh Phúc","-","-","Cây nội thất","Cây thân gỗ nhỏ","-","Sáng gián tiếp, chịu bóng",15,"Tưới khi đất khô","5.5-6.5","-","-","Phân NPK 1 tháng/lần","Trong nhà, văn phòng","Hạnh phúc, may mắn","Càng chăm lâu càng đẹp. Cây thân gỗ sống lâu năm. Làm quà tặng ý nghĩa.","","https://webcaycanh.com"
"Cây Ngũ Gia Bì","Schefflera heptaphylla","Araliaceae (Ngũ gia bì)","Cây thuốc - phong thủy","Cây thân gỗ nhỏ","Châu Á","Sáng gián tiếp, chịu bóng",10,"Giữ ẩm, 2-3 lần/tuần","5.5-6.5","-","-","Phân NPK 1 tháng/lần","Trong nhà, sân vườn","Ổn định tài vận, giữ tiền tài","Còn gọi là Chân Chim Bảy Lá, Sâm Non. Đuổi muỗi. Chữa đau khớp. Hợp tuổi Dần.","","https://webcaycanh.com"
"Cây Bàng Singapore","Ficus lyrata","Moraceae (Dâu tằm)","Cây nội thất lớn","Cây thân gỗ","Tây Phi","Sáng gián tiếp, nhiều sáng",15,"Khi đất mặt khô, 1-2 lần/tuần","5.5-7.0","-","-","Phân NPK 2 tuần/lần xuân-hè","Trong nhà, phòng khách","Giàu sang, phú quý, chính trực","Lá to hình lưỡi violin. Cây xu hướng nội thất. Cao 1-3m.","","https://caycanhhanoi.com"
"Cây Monstera (Trầu Bà Nam Mỹ)","Monstera deliciosa","Araceae (Ráy)","Cây nội thất","Cây leo thân thảo","Nam Mỹ","Sáng gián tiếp, bóng râm",15,"Giữ ẩm, 2-3 lần/tuần","5.5-6.5","Trắng","Hiếm trong nhà","Phân NPK 1 tháng/lần","Trong nhà, phòng khách","Thịnh vượng, may mắn","Lá xẻ thùy đặc trưng. Cây nội thất hot nhất hiện nay. Hợp mệnh Mộc, Hỏa.","","https://webcaycanh.com"
"Cây Đa Búp Đỏ (Cao Su)","Ficus elastica","Moraceae (Dâu tằm)","Cây nội thất","Cây thân gỗ","Ấn Độ, Malaysia","Sáng gián tiếp, chịu bóng",15,"Khi đất khô, 1-2 lần/tuần","5.5-6.5","-","-","Phân NPK 1 tháng/lần","Trong nhà, văn phòng","Bình an, êm ấm","Lá to bóng đỏ. Hút khói thuốc, formaldehyde. Dễ sống cả trong nhà lẫn ngoài trời.","","https://webcaycanh.com"
"Cây Hồng Môn","Anthurium andraeanum","Araceae (Ráy)","Cây hoa cảnh","Cây thân thảo","Colombia, Ecuador","Sáng gián tiếp, cần nắng để ra hoa",15,"Giữ ẩm, 2-3 lần/tuần","5.5-6.5","Đỏ, hồng, cam","Quanh năm","Phân NPK 1 tháng/lần, thêm phân ra hoa","Trong nhà, bàn làm việc","Tình yêu, lòng hiếu khách","Hoa mo đỏ hình trái tim. 600-800 loài. Hợp mệnh Hỏa, Thổ.","","https://webcaycanh.com"
"Cây Trường Sinh","-","-","Cây nội thất","Cây thân thảo","-","Bóng râm, ánh sáng nhẹ",15,"Giữ ẩm, 2 lần/tuần","5.5-6.5","-","-","Phân NPK 1-2 tháng/lần","Trong nhà, bàn làm việc","Sức khỏe, tiền tài, may mắn","Sức sống mãnh liệt, xanh tốt quanh năm. Lọc không khí. Hợp mệnh Mộc, Hỏa.","","https://webcaycanh.com"
"Cây Thường Xuân","Hedera helix","Araliaceae","Cây lọc không khí","Cây leo thân thảo","Châu Âu, châu Á","Bóng râm, ít sáng",5,"Giữ ẩm, 2-3 lần/tuần","5.5-7.0","-","-","Phân NPK 1 tháng/lần","Trong nhà, treo tường","Xua đuổi tà ma, bình an","Dây leo rủ. Hấp thụ formaldehyde mạnh. Lọc nicotin. Dễ trồng.","","https://spacet.vn"
"Cây Dương Xỉ","Nephrolepis exaltata","Nephrolepidaceae","Cây lọc không khí","Cây thân thảo","Nhiệt đới toàn cầu","Bóng râm, độ ẩm cao",10,"Giữ ẩm thường xuyên, phun sương","5.5-6.5","-","-","Phân NPK 1 tháng/lần","Trong nhà, phòng tắm","Thanh lọc, may mắn","Hấp thụ asen, formaldehyde. Cần độ ẩm cao. Hợp mệnh Kim, Thổ.","","https://webcaycanh.com"
"Cây Cẩm Nhung (Lá May Mắn)","Fittonia albivenis","Acanthaceae","Cây mini để bàn","Cây thân thảo","Nam Mỹ","Bóng râm, ẩm ướt",18,"Giữ ẩm thường xuyên","5.5-6.5","Trắng, đỏ","-","Phân NPK 1 tháng/lần","Trong nhà, bàn làm việc","May mắn","Lá gân trắng/hồng nổi bật. Cây tí hon. Cần độ ẩm cao.","","https://webcaycanh.com"
"Cây Đuôi Công","Calathea makoyana","Marantaceae (Dong)","Cây nội thất","Cây thân thảo","Châu Mỹ nhiệt đới","Bóng râm, ít sáng",18,"Giữ ẩm, phun sương thường xuyên","5.5-6.5","-","-","Phân NPK 1 tháng/lần","Trong nhà","-","Lá đốm như đuôi công. Không yêu cầu nhiều sáng. Cần độ ẩm cao.","","https://webcaycanh.com"
"Cây Cung Điện Vàng","-","Araceae (Ráy)","Cây phong thủy","Cây thân thảo","-","Thiếu sáng, bóng râm",15,"Giữ ẩm, 2 lần/tuần","5.5-6.5","-","-","Phân NPK 1 tháng/lần","Trong nhà","Trừ tà, may mắn, thịnh vượng","Dòng họ ráy. Dễ sống trong điều kiện thiếu sáng. Hợp mệnh Thủy, Kim.","","https://webcaycanh.com"
"Cây Hoàng Hậu","-","-","Cây nội thất","Cây thân thảo","-","Thiếu sáng, bóng râm",15,"Chịu đất ẩm lẫn đất khô","5.5-6.5","-","-","Phân NPK 1-2 tháng/lần","Trong nhà","Quý phái, sang trọng","Lá trắng ở giữa viền xanh đậm. Hợp mệnh Kim, Thủy.","","https://webcaycanh.com"
"Cây Sao Sáng","Dieffenbachia seguine","Araceae (Ráy)","Cây nội thất","Cây thân thảo","Mexico đến Argentina","Thiếu sáng",15,"Giữ ẩm, 2 lần/tuần","5.5-6.5","-","-","Phân NPK 1 tháng/lần","Trong nhà, thủy sinh","May mắn, phong thủy Kim","Phiên bản khác của Vạn Niên Thanh. Lá trắng xanh đặc biệt. Hợp mệnh Thủy, Kim.","","https://webcaycanh.com"
"Cây Phát Tài Búp Sen (Phát Tài Bông Súng)","Dracaena deremensis","Asparagaceae","Cây phong thủy","Cây thân gỗ nhỏ","Châu Á","Sáng gián tiếp",15,"Giữ ẩm, 2 lần/tuần","5.5-6.5","-","-","Phân NPK 1 tháng/lần","Trong nhà, bàn thần tài","Thanh khiết, tài lộc, may mắn","Thân mọc thẳng phân đốt. Lá dài màu xanh đậm. Quà tân gia ý nghĩa.","","https://webcaycanh.com"
"Cây Cỏ Đồng Tiền","Hydrocotyle verticillata","Araliaceae","Cây thủy sinh","Cây thân mềm","-","Ưa ẩm, ánh sáng nhẹ",15,"Ngập nước hoặc giữ ẩm","5.5-7.0","-","-","Phân thủy sinh","Trong nhà, hồ thủy sinh","Tài vận thăng tiến","Lá hình đồng xu. Sống được cả trên cạn và dưới nước. Hợp tuổi Tỵ.","","https://webcaycanh.com"
"Cây Trầu Bà Đế Vương","Philodendron imperial green","Araceae (Ráy)","Cây nội thất","Cây thân thảo","Indonesia","Thiếu sáng, bóng râm",15,"Giữ ẩm, 2 lần/tuần","5.5-6.5","-","-","Phân NPK 1 tháng/lần","Trong nhà, văn phòng","Quyền lực, may mắn","Lá xanh to bản. Dễ sống trong điều kiện văn phòng. Hợp mệnh Mộc, Hỏa.","","https://webcaycanh.com"
"Cây Lan Quân Tử","Clivia miniata","Amaryllidaceae","Cây hoa cảnh","Cây thân thảo","Nam Phi","Sáng gián tiếp",10,"Giữ ẩm, 2 lần/tuần","5.5-6.5","Cam, đỏ","Mùa xuân","Phân NPK 1 tháng/lần, thêm phân ra hoa","Trong nhà, phòng khách","Danh giá, phú quý","Hoa cam đỏ rực rỡ. Lá dài xanh đậm. Cây sang trọng. Hợp tuổi Mùi.","","https://spacet.vn"
"Cây Sen Đá (Succulent)","Echeveria spp.","Crassulaceae","Sen đá, xương rồng","Cây mọng nước","Mexico, Trung Mỹ","Nhiều sáng, nắng sáng",5,"Khi đất khô hoàn toàn, 1-2 tuần/lần","6.0-7.0","Nhiều màu","Tùy loài","Phân succulent định kỳ","Cả trong nhà và ngoài trời","Sức sống mãnh liệt, tình yêu bền chặt","Đa dạng màu sắc, hình dạng. Rất dễ trồng. Hợp mệnh hỏa","","https://spacet.vn"
"Cây Xương Rồng","Cactaceae spp.","Cactaceae","Sen đá, xương rồng","Cây mọng nước","Châu Mỹ","Nhiều nắng",5,"Tưới ít, 2-4 tuần/lần","6.0-7.5","Nhiều màu","Mùa xuân-hè","Phân cactus 1-2 tháng/lần","Cả trong nhà và ngoài trời","Xua đuổi điều xấu","Đa dạng hình dạng. Rất dễ sống, chịu hạn. Cây để bàn phổ biến.","","https://spacet.vn"
"Cây Tùng (Bonsai)","Juniperus spp.","Cupressaceae","Cây bonsai cổ thụ","Cây lá kim","Toàn cầu","Nhiều nắng - ngoài trời",-10,"Khi đất hơi khô, không tưới quá nhiều","5.5-7.0","-","-","Phân hữu cơ dạng viên hàng tháng","Ngoài trời quanh năm","Trường thọ, khí phách quân tử","50-70 loài. Cây bonsai phổ biến nhất. Có thể tạo gỗ lũa jin/shari.","/images/carrousel/Juniper01.jpg","https://www.bonsaiempire.vn/tree-species/juniper"
"Cây Sanh (Bonsai)","Ficus benjamina / Ficus microcarpa","Moraceae","Cây bonsai cổ thụ","Cây nhiệt đới","Khí hậu nhiệt đới","Rất nhiều nắng",15,"Khi đất mặt khô, phun sương hàng ngày","5.5-6.5","-","-","Bón phân hàng tuần/2 tuần vào hè","Trong nhà (đông), ngoài trời (hè)","Phú quý, vững chãi","Cây bonsai cho người mới. Rễ khí sinh. Nhiều loài: Retusa, Ginseng, Microcarpa.","/images/carrousel/ficus01-retusa-small.jpg","https://www.bonsaiempire.vn/tree-species/ficus"
"Cây Mai Vàng","Ochna integerrima","Ochnaceae","Cây bonsai - Tết","Cây thân gỗ","Việt Nam (Huế vào Nam)","Nhiều nắng",10,"Giữ ẩm không ngập, tưới 2 lần/ngày","5.5-7.0","Vàng","Tết Nguyên Đán","Đầu năm nhiều đạm, cuối năm nhiều kali","Ngoài trời, trong nhà dịp Tết","May mắn, tài lộc, phát tài","Biểu tượng Tết miền Nam. Xử lý tuốt lá để ra hoa đúng Tết. Cây quý.","/images/species-photos/mai-vang-bonsai.jpg","https://www.bonsaiempire.vn/tree-species/mai-vang"
"Cây Hoa Giấy","Bougainvillea","Nyctaginaceae","Cây bonsai - hoa","Cây bụi leo giàn","Nam Mỹ","Rất nhiều nắng, nhiệt độ cao",10,"Tưới khi đất khô, tránh ẩm thường xuyên","6.0-6.5","Đỏ, hồng, cam, vàng, tím","Hè tới thu","Phân hữu cơ rắn hàng tháng","Ngoài trời","-","Hoa nhiều màu sắc. Phát triển nhanh. Leo giàn đẹp.","/images/carrousel/bougainvillea01-purple-flowers.jpg","https://www.bonsaiempire.vn/tree-species/bougainvillea"
"Cây Mai Chiếu Thủy","Wrightia religiosa","Apocynaceae","Cây bonsai","Cây nhiệt đới","Trung Quốc, Đông Dương, Malaysia","Nhiều nắng, ưa nhiệt",18,"Tưới kỹ khi đất mặt khô, không để khô kiệt","5.5-6.5","Trắng, thơm","Quanh năm","Phân đạm cao. Hữu cơ rắn 4 tuần/lần","Có thể trong nhà cạnh cửa sổ","Cây thiêng đối với Phật tử","Hoa trắng thơm. Mau phân nhánh. Cây bonsai phổ biến Đông Nam Á.","/images/stories/species/Water-jasmine-wrightia-religiosa.jpg","https://www.bonsaiempire.vn/tree-species/water-jasmine"
"Cây Linh Sam","Desmodium Unifoliatum","Fabaceae (Đậu)","Cây bonsai","Cây hoang dã","Châu Á","Nắng hoặc bán râm",-1,"Lượng nước cao, cần tưới đầy đủ","5.5-6.5","Tím thẫm hoặc trắng, thơm","Quanh năm","Phân NPK 20:10:10","Ngoài trời hoặc bán râm","Thịnh vượng, giàu sang","Thân dẻo dễ uốn. Có gai nhọn. Ra hoa quanh năm.","/images/headers/bonsai-species-linh-sam.jpg","https://www.bonsaiempire.vn/tree-species/linh-sam"
"Cây Tùng La Hán","Podocarpus macrophyllus","Podocarpaceae","Cây bonsai","Cây thường xanh","Châu Á nhiệt đới","Bán râm mát",-1,"Khi đất khô, tránh nước cứng","5.0-6.0","-","-","Phân hữu cơ rắn 4 tuần/lần","Có thể trong nhà","-","Lá hình mũi mác. Quả xanh ngọc. Cây cảnh sân vườn.","/images/carrousel/Podocarpus01.jpg","https://www.bonsaiempire.vn/tree-species/podocarpus"
"Cây Hoa Mẫu Đơn Đỏ (Trang Đỏ)","Ixora coccinea","Rubiaceae","Cây bụi cảnh","Cây bụi","Việt Nam","Ưa sáng",15,"Nhỏ: hàng ngày, lớn: 2-3 ngày/lần","6.0-7.0","Đỏ","Quanh năm","Bón thêm NPK khi có nụ","Ngoài trời, sân vườn","Vương giả, phú quý, giàu sang","Hoa đỏ đẹp. Sinh trưởng mạnh. Làm hàng rào. Rất dễ chăm sóc.","/images/headers/bonsai-species-bong-trang.jpg","https://www.bonsaiempire.vn/tree-species/bong-trang"
"Cây Trầu Bà Lá Lỗ (Monstera Obliqua)","Monstera obliqua","Araceae (Ráy)","Cây nội thất","Cây leo","Nam Mỹ","Bóng râm",18,"Giữ ẩm, 2 lần/tuần","5.5-6.5","-","-","Phân NPK 1 tháng/lần","Trong nhà","-","Lá thủng lỗ độc đáo. Dễ sống. Cây leo tạo không gian ấn tượng.","","https://webcaycanh.com"
"Cây Hạnh Phúc","Radermachera sinica","Bignoniaceae","Cây nội thất","Cây thân gỗ","Trung Quốc","Sáng gián tiếp",15,"Giữ ẩm, 2-3 lần/tuần","5.5-6.5","Trắng","Mùa hè","Phân NPK 1 tháng/lần","Trong nhà, văn phòng","Hạnh phúc, may mắn, tình yêu","Cây càng chăm càng đẹp. Lá xanh mướt quanh năm. Cây để bàn phong thủy.","","https://webcaycanh.com"
"Cây Tùng Thơm (Tùng Bồng Lai)","Sabina vulgaris","Cupressaceae","Cây bonsai","Cây lá kim","Trung Quốc","Nhiều nắng",-5,"Khi đất khô, tưới vừa phải","5.5-7.0","-","-","Phân NPK 1-2 tháng/lần","Ngoài trời, sân vườn","Trường thọ, may mắn","Lá có mùi thơm dễ chịu. Dáng bonsai đẹp. Cây phong thủy tốt.","","https://spacet.vn"
"Cây Tài Lộc","-","-","Cây phong thủy","Cây thân thảo","-","Sáng gián tiếp",15,"Giữ ẩm, 2 lần/tuần","5.5-6.5","-","-","Phân NPK 1 tháng/lần","Trong nhà, bàn làm việc","Tài lộc, may mắn","Cây phong thủy chiêu tài. Dễ chăm sóc. Cây để bàn phổ biến.","","https://spacet.vn"
"Cây Vạn Tuế","Cycas revoluta","Cycadaceae","Cây cảnh sân vườn","Cây thân gỗ","Nhật Bản, Trung Quốc","Nhiều nắng",-5,"Khi đất khô, tưới vừa","5.5-7.0","-","-","Phân NPK 2 tháng/lần","Ngoài trời, sân vườn","Trường thọ, vững chãi","Cây cổ đại. Lá xếp vòng. Sống rất lâu năm. Cảnh quan sân vườn.","","https://spacet.vn"
"Cây Sứ (Sứ Cùi, Sứ Thái)","Adenium obesum","Apocynaceae","Cây bonsai - hoa","Cây mọng nước","Châu Phi, Ả Rập","Nhiều nắng",10,"Tưới ít, để khô giữa các lần","6.0-7.0","Hồng, đỏ, trắng","Mùa xuân-hè","Phân NPK 1 tháng/lần, thêm phân ra hoa","Ngoài trời","May mắn, thịnh vượng","Thân phình to (bụi). Hoa đẹp nhiều màu. Dễ tạo dáng bonsai.","","https://caycanhhanoi.com"
"Cây Lộc Vừng","Barringtonia acutangula","Lecythidaceae","Cây bonsai cổ thụ","Cây thân gỗ lớn","Đông Nam Á","Nhiều nắng",10,"Giữ ẩm, tưới hàng ngày","5.5-7.0","Đỏ","Mùa hè","Phân NPK 1 tháng/lần","Ngoài trời, sân vườn","May mắn, tài lộc, sum vầy","Hoa đỏ rủ thướt tha. Cây bóng mát. Bonsai cổ thụ. Cây phong thủy sân vườn.","","https://vuakiengsaigon.com.vn"
"Cây Sung","Ficus racemosa","Moraceae","Cây bonsai","Cây thân gỗ","Ấn Độ, Đông Nam Á","Nhiều nắng",10,"Giữ ẩm, tưới hàng ngày","5.5-7.0","-","-","Phân NPK 1 tháng/lần","Ngoài trời","Sum vầy, sung túc","Quả mọc chùm trên thân. Cây bonsai phổ biến. Ý nghĩa sung mãn.","","https://caycanhhanoi.com"
"Cây Quất (Tắc)","Citrus japonica","Rutaceae (Cam)","Cây bonsai - Tết","Cây thân gỗ nhỏ","Trung Quốc, Nhật Bản","Nhiều nắng",5,"Giữ ẩm, tưới hàng ngày","5.5-6.5","Trắng","Mùa xuân (Tết)","Phân NPK 2 tuần/lần, thêm Kali","Ngoài trời, trong nhà dịp Tết","May mắn, phát tài, sum vầy","Cây Tết phổ biến nhất miền Bắc. Quả vàng cam tượng trưng tài lộc.","","https://caycanhhanoi.com"
"Cây Đào","Prunus persica","Rosaceae (Hoa hồng)","Cây hoa - Tết","Cây thân gỗ","Trung Quốc","Nhiều nắng",0,"Giữ ẩm, tưới hàng ngày","6.0-7.0","Hồng, đỏ","Tết Nguyên Đán","Phân NPK 2 tuần/lần, thêm phân ra hoa","Ngoài trời, trong nhà dịp Tết","Bình an, may mắn, xua đuổi tà ma","Biểu tượng Tết miền Bắc. Hoa đào hồng báo hiệu mùa xuân. Cây cảnh Tết.","","https://caycanhhanoi.com"
"Cây Bonsai Ổi Cảnh","Psidium guajava","Myrtaceae","Cây ăn quả bonsai","Cây thân gỗ","Châu Mỹ nhiệt đới","Nhiều nắng",10,"Giữ ẩm, tưới hàng ngày","5.5-6.5","Trắng","Nhiều vụ","Phân NPK hữu cơ 1 tháng/lần","Ngoài trời","May mắn, sung túc","Cây ăn quả bonsai. Trái vàng thơm. Giá trị cao.","","https://caycanhhanoi.com"
"Cây Bonsai Khế Cảnh","Averrhoa carambola","Oxalidaceae","Cây ăn quả bonsai","Cây thân gỗ","Đông Nam Á","Nhiều nắng",10,"Giữ ẩm, tưới hàng ngày","5.5-6.5","Tím hồng","Quanh năm","Phân NPK 1 tháng/lần","Ngoài trời","May mắn, tài lộc","Quả vàng hình sao. Cây bonsai sai trái quanh năm.","","https://caycanhhanoi.com"
